Date, Race Name, Location, Distance, Time, Place, Full Results
2008-09-20, Burlington Invitational, Burlington VT, 5K, 18:58, 38/130, http://802timing.com/results/08results/08xcresults/08binvvarboys.htm
2008-09-27, U-32 Invitational, East Montpelier VT, 5K, 18:53, 13/111, http://802timing.com/results/08results/08xcresults/08u32varsityboys.htm
2008-10-04, Woods Trail Run, Thetford VT, 5K, 18:59, 77/148, https://www.lancertiming.com/results/fall08/wtrb1.pdf
2008-10-11, Middlebury Invitational, Middlebury VT, 5K, 18:07, 15/41, http://802timing.com/results/08results/08xcresults/08middvarboys.htm
2008-10-18, NVAC Championship, Swanton VT, 5K, 17:51, 9/45, http://802timing.com/results/08results/08xcresults/08nvacsmallboys.htm
2008-10-25, Vermont State High School Cross-Country Championships, Thetford VT, 5K, 19:13, 28/106, https://www.lancertiming.com/results/fall08/b1results.htm
2009-09-12, Essex Invitational, Williston VT, 5K, 18:07, 8/84, http://802timing.com/results/09results/09xcresults/09essinvd2boys.htm
2009-09-19, Burlington Invitational, Burlington VT, 5K, 18:32, 33/130, http://802timing.com/results/09results/09xcresults/09bhsvarboys.htm
2009-09-26, U-32 Invitational, East Montpelier VT, 5K, 18:21, 12/137, http://802timing.com/results/09results/09xcresults/09u32varsboys.htm
2009-10-03, Woods Trail Run, Thetford VT, 5K, 20:44, 167/214, https://www.lancertiming.com/results/fall09/wtrb1.htm
2009-10-10, Middlebury Invitational, Middlebury VT, 5K, 18:06, 15/69, http://802timing.com/results/09results/09xcresults/09midvarboys.htm
2009-10-24, NVAC Championship, Swanton VT, 5K, 18:18, 6/44, http://802timing.com/results/09results/09xcresults/09nvacsmallboys.htm
2009-10-31, Vermont State High School Cross-Country Championships, Thetford VT, 5K, 19:34, 12/101, https://www.lancertiming.com/results/fall09/BoysD2.htm
2010-09-18, Burlington Invitational, Burlington VT, 5K, 17:45, 6/133, http://802timing.com/results/10results/10xcresults/10varboybinv.htm
2010-09-25, U-32 Invitational, East Montpelier VT, 5K, 18:17, 8/141, http://802timing.com/results/10results/10xcresults/10u32varboys.htm
2010-10-02, Woods Trail Run, Thetford VT, 5K, 18:45, 74/215, https://www.lancertiming.com/results/fall10/wtrb1.htm
2010-10-10, Ripton Ridge Run, Ripton VT, 5K, 18:43, 1/100, http://www.coolrunning.com/results/10/vt/Oct10_Ripton_set2.shtml
2010-10-23, NVAC Championship, Swanton VT, 5K, 17:31, 5/99, http://802timing.com/results/10results/10xcresults/10NVACCHAMPIONSHIP.HTM
2010-10-30, Vermont State High School Cross-Country Championships, Thetford VT, 5K, 18:45, 6/111, https://www.lancertiming.com/results/fall10/vtb2.htm
2010-11-13, New England High School Cross-Country Championships, Thetford VT, 5K, 19:10, 187/264, https://www.lancertiming.com/results/fall10/nexcb.htm
2011-09-10, Essex Invitational, Williston VT, 5K, 18:28, 8/52, http://802timing.com/results/11results/9.10.11D2BESSINV.HTM
2011-09-17, Burlington Invitational, Burlington VT, 5K, 17:40, 10/114, http://802timing.com/results/11results/9.17.11VBBINV.HTM
2011-09-24, U-32 Invitational, East Montpelier VT, 5K, 18:08, 3/128, http://802timing.com/results/11results/9.24.11vbu32.htm
2011-10-01, Woods Trail Run, Thetford VT, 5K, 19:05, 37/162, https://www.lancertiming.com/results/fall11/wtrb1.pdf
2011-10-08, Middlebury Invitational, Middlebury VT, 5K, 17:45, 3/48, http://802timing.com/results/11results/10.8.11VBMIDDINV.HTML
2011-10-22, NVAC Championship, Swanton VT, 5K, 16:58, 2/95, http://802timing.com/results/11results/10.22.11SMALLSCHBNVAC.HTM
2011-10-29, Vermont State High School Cross-Country Championships, Thetford VT, 5K, 18:23, 8/101, https://www.lancertiming.com/results/fall11/vtb2.htm
2011-11-05, West Cornwall Night Race, Cornwall VT, 8.53K, 36:40, 6/6, http://www.coolrunning.com/results/11/vt/Nov5_WestCo_set1.shtml
2012-08-25, Vergennes Day Race, Vergennes VT, 10K, 39:21, 2/58, http://www.coolrunning.com/results/12/vt/Aug25_Little_set1.shtml
2012-10-21, RIT Brick City 5k Fun Run & Walk, Henrietta NY, 5K, 17:45
2013-02-03, RIT Freezefest 5K, Henrietta NY, 5K, 18:48
2013-06-09, Crowley Bros. Road Race, Rutland VT, 10K, 41:41, 3/115, http://crowleyroadrace.com/sites/default/files/images/downloads/2013_OVERALL10.pdf
2013-10-13, RIT Brick City 5k Fun Run & Walk, Henrietta NY, 5K, 18:23
2013-11-10, RIT Veterans Day Run/Walk, Henrietta NY, 5K, 18:33
2014-02-23, RIT Freezefest 5K, Henrietta NY, 5K, 18:30
2014-07-20, Jungle Jog and Seneca Park Mile, Rochester NY, 5K, 17:39, 8/796, https://pcr-timing.com/racedata/2014/07/jungle/5K%20OVR.htm
2014-07-25, Karknocker 5k, East Rochester NY, 5K, 17:28, 20/218, http://files.yellowjacketracing.com/archive/Contract_Events/2014/272_2014_5_OV_Karknocker.htm
2014-08-02, SSGT Javier Ortiz Rivera Memorial 5k, Rochester NY, 5K, 17:39, 8/152, http://files.yellowjacketracing.com/archive/Contract_Events/2014/390_2014_5_OV_JavierOrtiz.htm
2014-08-09, Bergen Road Race Jenny Kuzma Memorial 5k, Bergen NY, 5K, 17:29, 74/365, http://leonetiming.com/2014/Roads/Bergen5K14.htm
2014-10-19, RIT Brick City 5k Fun Run & Walk, Henrietta NY, 5K, 18:20
2015-06-14, The 2015 Excellus BCBS Teacher's Challenge 5K, Irondequoit NY, 5K, 19:05, 5/472, https://pcr-timing.com/racedata/2015/06/teachers/over.htm
2015-06-21, Medved 5k to Cure ALS, Rochester NY, 5K, 18:20, 27/555, https://pcr-timing.com/racedata/2015/06/als/OVR.htm
2015-07-04, 44th Annual Irondequoit July 4 10K and 2 Mile Race, Irondequoit NY, 10K, 38:08, 5/288, https://pcr-timing.com/racedata/2015/07/irondequoit/10kOVR.htm
2015-07-24, The 18th Annual Karnocker 5K, East Rochester NY, 5K, 18:27, 31/183, https://pcr-timing.com/racedata/2015/07/Karknocker/overall.htm
2015-10-18, RIT Brick City 5k Fun Run & Walk, Henrietta NY, 5K, 17:24, 8/208, https://www.rit.edu/gcr/brickcity/assets/pdfs/5KResults2015.pdf
2016-10-16, RIT Brick City 5k Fun Run & Walk, Henrietta NY, 5K, 19:14, 7/377, http://www.spirittiming.com/uploads/1/4/1/0/14108082/2016_brick_city_o.pdf, https://www.rit.edu/gcr/brickcity/assets/pdfs/5KResults2016.pdf
2017-07-12, Summer Classic 5K, Cambridge MA, 5K, 
2018-10-21, 30th Ashworth Awards Baystate Marathon, Lowell MA, Marathon, 3:23:23, 303/1306, http://www.coolrunning.com/results/18/ma/Oct21_30thAs_set1.shtml, http://www.iresultslive.com/?op=overall&eid=3243
2018-12-02, Winter Classic 5K, Cambridge MA, 5K, 18:29, 14/986, https://runscore.runsignup.com/Race/Results/63109?customResultsPageId=26807
2019-05-19, Sugarloaf Marathon, Kingfield ME, Marathon, 3:07:51, 84/825, http://m.raceresults360.com/#/race/tt5ye/Marathon/results
2019-06-08, Jamaica Pond Parkrun #65, Boston MA, 5K, 18:52, 1/94, https://www.parkrun.us/jamaicapond/results/weeklyresults/?runSeqNumber=65
2019-06-15, Jamaica Pond Parkrun #66, Boston MA, 5K, 17:59, 2/125, https://www.parkrun.us/jamaicapond/results/weeklyresults/?runSeqNumber=66
2019-06-22, Jamaica Pond Parkrun #67, Boston MA, 5K, 18:02, 1/85, https://www.parkrun.us/jamaicapond/results/weeklyresults/?runSeqNumber=67
